# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
1.00000000   2.68000000   2.18695697   0.00008696   0.66700000
11.00000000   2.67913027   2.18678353   0.00008699   0.66689190
21.00000000   2.67826026   2.18660994   0.00008702   0.66678369
31.00000000   2.67738996   2.18643620   0.00008705   0.66667538
41.00000000   2.67651936   2.18626233   0.00008708   0.66656696
51.00000000   2.67564848   2.18608830   0.00008710   0.66645843
61.00000000   2.67477731   2.18591413   0.00008713   0.66634979
71.00000000   2.67390585   2.18573982   0.00008716   0.66624105
81.00000000   2.67303409   2.18556536   0.00008719   0.66613220
91.00000000   2.67216205   2.18539075   0.00008722   0.66602325
101.00000000   2.67128972   2.18521599   0.00008596   0.66591419
111.00000000   2.67048332   2.18505437   0.00007463   0.66581330
121.00000000   2.66977931   2.18491321   0.00006559   0.66572518
131.00000000   2.66915770   2.18478852   0.00005824   0.66564733
141.00000000   2.66860357   2.18467732   0.00005216   0.66557790
151.00000000   2.66810552   2.18457735   0.00004708   0.66551548
161.00000000   2.66765470   2.18448684   0.00004277   0.66545895
171.00000000   2.66724408   2.18440437   0.00003908   0.66540745
181.00000000   2.66686801   2.18432883   0.00003589   0.66536027
191.00000000   2.66652191   2.18425930   0.00003311   0.66531683
201.00000000   2.66620200   2.18419501   0.00003068   0.66527667
211.00000000   2.66590513   2.18413534   0.00002853   0.66523940
221.00000000   2.66562866   2.18407976   0.00002661   0.66520468
231.00000000   2.66537035   2.18402783   0.00002491   0.66517223
241.00000000   2.66512831   2.18397916   0.00002338   0.66514183
251.00000000   2.66490088   2.18393342   0.00002199   0.66511325
261.00000000   2.66468666   2.18389033   0.00002074   0.66508633
271.00000000   2.66448442   2.18384965   0.00001961   0.66506091
281.00000000   2.66429308   2.18381115   0.00001857   0.66503685
291.00000000   2.66411169   2.18377466   0.00001762   0.66501404
301.00000000   2.66393942   2.18373999   0.00001675   0.66499238
311.00000000   2.66377554   2.18370701   0.00001595   0.66497177
321.00000000   2.66361937   2.18367558   0.00001522   0.66495213
331.00000000   2.66347034   2.18364558   0.00001453   0.66493338
341.00000000   2.66332791   2.18361691   0.00001390   0.66491546
351.00000000   2.66319161   2.18358947   0.00001331   0.66489831
361.00000000   2.66306102   2.18356318   0.00001276   0.66488188
371.00000000   2.66293575   2.18353796   0.00001225   0.66486612
381.00000000   2.66281545   2.18351373   0.00001177   0.66485098
391.00000000   2.66269979   2.18349044   0.00001132   0.66483642
401.00000000   2.66258848   2.18346802   0.00001090   0.66482241
411.00000000   2.66248126   2.18344643   0.00001051   0.66480891
421.00000000   2.66237789   2.18342561   0.00001013   0.66479589
431.00000000   2.66227813   2.18340551   0.00000978   0.66478333
441.00000000   2.66218179   2.18338611   0.00000945   0.66477120
451.00000000   2.66208867   2.18336735   0.00000914   0.66475948
461.00000000   2.66199860   2.18334920   0.00000885   0.66474813
471.00000000   2.66191141   2.18333164   0.00000857   0.66473715
481.00000000   2.66182695   2.18331462   0.00000830   0.66472651
491.00000000   2.66174509   2.18329813   0.00000805   0.66471620
501.00000000   2.66166569   2.18328213   0.00000781   0.66470620
511.00000000   2.66158863   2.18326660   0.00000758   0.66469649
521.00000000   2.66151381   2.18325152   0.00000736   0.66468707
531.00000000   2.66144110   2.18323687   0.00000716   0.66467791
541.00000000   2.66137043   2.18322262   0.00000696   0.66466900
551.00000000   2.66130168   2.18320877   0.00000677   0.66466034
561.00000000   2.66123478   2.18319529   0.00000659   0.66465191
571.00000000   2.66116965   2.18318216   0.00000642   0.66464370
581.00000000   2.66110620   2.18316937   0.00000625   0.66463571
591.00000000   2.66104437   2.18315691   0.00000610   0.66462792
601.00000000   2.66098410   2.18314475   0.00000595   0.66462032
611.00000000   2.66092530   2.18313290   0.00000580   0.66461291
621.00000000   2.66086794   2.18312134   0.00000566   0.66460568
631.00000000   2.66081194   2.18311005   0.00000553   0.66459862
641.00000000   2.66075726   2.18309902   0.00000540   0.66459173
651.00000000   2.66070384   2.18308825   0.00000527   0.66458499
661.00000000   2.66065164   2.18307773   0.00000515   0.66457841
671.00000000   2.66060061   2.18306744   0.00000504   0.66457198
681.00000000   2.66055071   2.18305738   0.00000493   0.66456569
691.00000000   2.66050189   2.18304754   0.00000482   0.66455953
701.00000000   2.66045412   2.18303790   0.00000472   0.66455351
711.00000000   2.66040737   2.18302848   0.00000462   0.66454761
