# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
1.00000000   2.30000000   2.03132344   0.00100715   0.51000000
11.00000000   2.28991556   2.02831648   0.00101003   0.50784211
21.00000000   2.27980222   2.02528008   0.00101293   0.50565887
31.00000000   2.26965993   2.02221375   0.00101582   0.50344984
41.00000000   2.25948864   2.01911701   0.00101873   0.50121458
51.00000000   2.24928790   2.01602704   0.00102171   0.49895254
61.00000000   2.23905764   2.01287694   0.00102464   0.49666325
71.00000000   2.22879812   2.00969063   0.00102756   0.49434631
81.00000000   2.21850940   2.00646751   0.00103048   0.49200125
91.00000000   2.20819156   2.00320698   0.00103338   0.48962761
101.00000000   2.19784467   1.99990842   0.00102093   0.48722491
111.00000000   2.18825714   1.99682580   0.00088841   0.48497826
121.00000000   2.17986904   1.99410794   0.00078233   0.48299647
131.00000000   2.17244893   1.99168728   0.00069584   0.48123061
141.00000000   2.16582350   1.98951268   0.00062423   0.47964366
151.00000000   2.15986002   1.98754462   0.00056413   0.47820693
161.00000000   2.15445492   1.98575197   0.00051312   0.47689785
171.00000000   2.14952597   1.98410985   0.00046937   0.47569836
181.00000000   2.14500702   1.98259808   0.00043151   0.47459379
191.00000000   2.14084407   1.98120009   0.00039850   0.47357212
201.00000000   2.13699264   1.97990214   0.00036949   0.47262336
211.00000000   2.13341564   1.97869273   0.00034385   0.47173913
221.00000000   2.13008190   1.97756211   0.00032105   0.47091236
231.00000000   2.12696498   1.97650201   0.00030066   0.47013702
241.00000000   2.12404233   1.97550531   0.00028235   0.46940794
251.00000000   2.12129452   1.97456588   0.00026583   0.46872064
261.00000000   2.11870476   1.97367838   0.00025086   0.46807124
271.00000000   2.11625844   1.97283815   0.00023725   0.46745635
281.00000000   2.11394276   1.97204110   0.00022483   0.46687298
291.00000000   2.11174648   1.97128363   0.00021345   0.46631851
301.00000000   2.10965966   1.97056253   0.00020301   0.46579061
311.00000000   2.10767348   1.96987496   0.00019339   0.46528719
321.00000000   2.10578010   1.96921836   0.00018451   0.46480641
331.00000000   2.10397249   1.96859048   0.00017629   0.46434661
341.00000000   2.10224436   1.96798925   0.00016866   0.46390628
351.00000000   2.10059004   1.96741282   0.00016157   0.46348408
361.00000000   2.09900442   1.96685953   0.00015497   0.46307879
371.00000000   2.09748286   1.96632784   0.00014880   0.46268929
381.00000000   2.09602115   1.96581638   0.00014303   0.46231459
391.00000000   2.09461547   1.96532390   0.00013762   0.46195375
401.00000000   2.09326232   1.96484922   0.00013255   0.46160594
411.00000000   2.09195850   1.96439131   0.00012778   0.46127038
421.00000000   2.09070109   1.96394918   0.00012329   0.46094637
431.00000000   2.08948738   1.96352194   0.00011906   0.46063326
441.00000000   2.08831491   1.96310877   0.00011507   0.46033043
451.00000000   2.08718138   1.96270890   0.00011129   0.46003734
461.00000000   2.08608468   1.96232164   0.00010772   0.45975348
471.00000000   2.08502287   1.96194633   0.00010433   0.45947835
481.00000000   2.08399412   1.96158237   0.00010112   0.45921153
491.00000000   2.08299675   1.96122918   0.00009807   0.45895259
501.00000000   2.08202920   1.96088624   0.00009517   0.45870115
511.00000000   2.08109000   1.96055307   0.00009241   0.45845687
521.00000000   2.08017780   1.96022920   0.00008978   0.45821939
531.00000000   2.07929133   1.95991421   0.00008728   0.45798841
541.00000000   2.07842940   1.95960769   0.00008489   0.45776364
551.00000000   2.07759089   1.95930928   0.00008260   0.45754479
561.00000000   2.07677477   1.95901861   0.00008042   0.45733162
571.00000000   2.07598005   1.95873535   0.00007833   0.45712388
581.00000000   2.07520581   1.95845920   0.00007633   0.45692133
591.00000000   2.07445118   1.95818986   0.00007442   0.45672378
601.00000000   2.07371536   1.95792705   0.00007258   0.45653101
611.00000000   2.07299756   1.95767051   0.00007082   0.45634282
621.00000000   2.07229708   1.95741999   0.00006912   0.45615906
631.00000000   2.07161321   1.95717526   0.00006750   0.45597953
641.00000000   2.07094532   1.95693610   0.00006593   0.45580408
651.00000000   2.07029279   1.95670230   0.00006443   0.45563255
661.00000000   2.06965503   1.95647366   0.00006298   0.45546481
671.00000000   2.06903151   1.95625000   0.00006159   0.45530071
681.00000000   2.06842169   1.95603112   0.00006025   0.45514012
691.00000000   2.06782509   1.95581687   0.00005895   0.45498292
701.00000000   2.06724122   1.95560709   0.00005770   0.45482898
711.00000000   2.06666965   1.95540161   0.00005650   0.45467821
721.00000000   2.06610995   1.95520029   0.00005533   0.45453048
731.00000000   2.06556171   1.95500300   0.00005421   0.45438570
741.00000000   2.06502455   1.95480959   0.00005312   0.45424378
