# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
1.00000000   1.50000000   2.54529826   0.01494990   0.50000000
1.10000000   1.49850424   2.54475883   0.01496706   0.49950091
1.20000000   1.49700676   2.54421560   0.01498422   0.49900026
1.30000000   1.49550757   2.54366855   0.01500137   0.49849802
1.40000000   1.49400666   2.54311765   0.01501851   0.49799420
1.50000000   1.49250404   2.54256289   0.01503564   0.49748880
1.60000000   1.49099970   2.54200425   0.01505276   0.49698179
1.70000000   1.48949366   2.54144171   0.01506986   0.49647318
1.80000000   1.48798590   2.54087525   0.01508696   0.49596297
1.90000000   1.48647643   2.54030484   0.01510405   0.49545113
2.00000000   1.48496526   2.53973046   0.01512112   0.49493768
2.10000000   1.48345238   2.53915210   0.01513818   0.49442260
2.20000000   1.48193780   2.53856973   0.01515523   0.49390588
2.30000000   1.48042151   2.53798333   0.01517226   0.49338753
2.40000000   1.47890351   2.53739288   0.01518928   0.49286752
2.50000000   1.47738382   2.53679836   0.01520629   0.49234587
2.60000000   1.47586243   2.53619975   0.01522328   0.49182255
2.70000000   1.47433934   2.53559703   0.01524025   0.49129757
2.80000000   1.47281455   2.53499017   0.01525721   0.49077092
2.90000000   1.47128807   2.53437915   0.01527415   0.49024259
3.00000000   1.46975989   2.53376395   0.01529107   0.48971257
3.10000000   1.46823002   2.53314455   0.01530797   0.48918086
3.20000000   1.46669846   2.53252093   0.01532486   0.48864745
3.30000000   1.46516522   2.53189306   0.01534173   0.48811234
3.40000000   1.46363029   2.53126093   0.01535858   0.48757551
3.50000000   1.46209367   2.53062451   0.01537540   0.48703697
3.60000000   1.46055538   2.52998377   0.01539221   0.48649670
3.70000000   1.45901540   2.52933870   0.01540899   0.48595471
3.80000000   1.45747375   2.52868928   0.01542576   0.48541097
3.90000000   1.45593042   2.52803547   0.01544249   0.48486549
4.00000000   1.45438541   2.52737727   0.01545921   0.48431826
4.10000000   1.45283874   2.52671463   0.01547590   0.48376927
4.20000000   1.45129040   2.52604755   0.01549257   0.48321852
4.30000000   1.44974040   2.52537600   0.01550921   0.48266600
4.40000000   1.44818873   2.52469996   0.01552583   0.48211170
4.50000000   1.44663540   2.52401940   0.01554242   0.48155561
4.60000000   1.44508041   2.52333430   0.01555898   0.48099774
4.70000000   1.44352377   2.52264463   0.01557552   0.48043807
4.80000000   1.44196547   2.52195038   0.01559202   0.47987659
4.90000000   1.44040553   2.52125152   0.01560850   0.47931330
5.00000000   1.43884394   2.52054802   0.01562495   0.47874819
5.10000000   1.43728070   2.51983987   0.01564136   0.47818126
5.20000000   1.43571583   2.51912703   0.01565775   0.47761250
5.30000000   1.43414932   2.51840949   0.01567410   0.47704190
5.40000000   1.43258117   2.51768722   0.01569042   0.47646946
5.50000000   1.43101140   2.51696020   0.01570671   0.47589516
5.60000000   1.42944000   2.51622840   0.01572296   0.47531900
5.70000000   1.42786697   2.51549180   0.01573918   0.47474098
5.80000000   1.42629232   2.51475037   0.01575537   0.47416109
5.90000000   1.42471606   2.51400409   0.01577151   0.47357932
6.00000000   1.42313818   2.51325294   0.01578762   0.47299566
6.10000000   1.42155870   2.51249688   0.01580369   0.47241011
6.20000000   1.41997761   2.51173591   0.01581973   0.47182266
6.30000000   1.41839491   2.51096998   0.01583572   0.47123330
6.40000000   1.41681062   2.51019908   0.01585167   0.47064203
6.50000000   1.41522474   2.50942319   0.01586759   0.47004883
6.60000000   1.41363727   2.50864227   0.01588346   0.46945371
6.70000000   1.41204821   2.50785630   0.01589928   0.46885666
6.80000000   1.41045757   2.50706526   0.01591507   0.46825767
6.90000000   1.40886535   2.50626912   0.01593081   0.46765672
7.00000000   1.40727157   2.50546785   0.01594651   0.46705382
7.10000000   1.40567621   2.50466144   0.01596216   0.46644896
7.20000000   1.40407929   2.50384985   0.01597776   0.46584213
7.30000000   1.40248082   2.50303307   0.01599332   0.46523333
7.40000000   1.40088079   2.50221105   0.01600882   0.46462254
7.50000000   1.39927921   2.50138379   0.01602428   0.46400976
7.60000000   1.39767608   2.50055125   0.01603969   0.46339498
7.70000000   1.39607142   2.49971341   0.01605505   0.46277820
7.80000000   1.39446523   2.49887023   0.01607036   0.46215941
7.90000000   1.39285751   2.49802171   0.01608561   0.46153860
8.00000000   1.39124826   2.49716780   0.01610081   0.46091577
8.10000000   1.38963739   2.49654587   0.01612209   0.46029086
8.20000000   1.38802390   2.49619171   0.01615042   0.45966348
8.30000000   1.38640759   2.49583117   0.01617875   0.45903354
8.40000000   1.38478844   2.49546418   0.01620707   0.45840102
8.50000000   1.38316645   2.49509071   0.01623538   0.45776591
8.60000000   1.38154164   2.49471069   0.01626368   0.45712820
8.70000000   1.37991400   2.49432408   0.01629197   0.45648787
8.80000000   1.37828353   2.49393083   0.01632024   0.45584491
8.90000000   1.37665024   2.49353089   0.01634850   0.45519931
9.00000000   1.37501412   2.49312419   0.01637674   0.45455105
9.10000000   1.37337517   2.49271070   0.01640496   0.45390013
9.20000000   1.37173341   2.49229035   0.01643316   0.45324653
9.30000000   1.37008882   2.49186310   0.01646134   0.45259024
9.40000000   1.36844142   2.49142888   0.01648950   0.45193123
9.50000000   1.36679120   2.49098766   0.01651764   0.45126952
9.60000000   1.36513817   2.49053936   0.01654575   0.45060506
9.70000000   1.36348234   2.49008394   0.01657383   0.44993787
9.80000000   1.36182369   2.48962134   0.01660189   0.44926791
9.90000000   1.36016224   2.48915150   0.01662991   0.44859519
10.00000000   1.35849799   2.48867438   0.01665790   0.44791968
10.10000000   1.35683094   2.48818992   0.01668586   0.44724138
10.20000000   1.35516110   2.48769805   0.01671379   0.44656026
10.30000000   1.35348846   2.48719872   0.01674167   0.44587633
10.40000000   1.35181304   2.48669188   0.01676952   0.44518955
10.50000000   1.35013484   2.48617747   0.01679733   0.44449993
10.60000000   1.34845385   2.48565543   0.01682510   0.44380744
10.70000000   1.34677010   2.48512571   0.01685282   0.44311208
10.80000000   1.34508357   2.48458824   0.01688050   0.44241383
10.90000000   1.34339428   2.48404296   0.01690813   0.44171267
11.00000000   1.34170222   2.48348983   0.01693571   0.44100860
11.10000000   1.34000741   2.48292877   0.01696324   0.44030160
11.20000000   1.33830985   2.48235973   0.01699071   0.43959166
11.30000000   1.33660955   2.48178266   0.01701813   0.43887876
11.40000000   1.33490650   2.48119748   0.01704550   0.43816290
11.50000000   1.33320072   2.48060415   0.01707280   0.43744405
11.60000000   1.33149222   2.48000259   0.01710005   0.43672220
11.70000000   1.32978099   2.47939276   0.01712723   0.43599735
11.80000000   1.32806704   2.47877458   0.01715435   0.43526947
11.90000000   1.32635039   2.47814800   0.01718140   0.43453856
12.00000000   1.32463104   2.47751295   0.01720838   0.43380460
12.10000000   1.32290899   2.47686938   0.01723529   0.43306758
12.20000000   1.32118425   2.47621722   0.01726212   0.43232747
12.30000000   1.31945683   2.47555641   0.01728888   0.43158428
12.40000000   1.31772674   2.47488688   0.01731557   0.43083799
12.50000000   1.31599399   2.47420858   0.01734217   0.43008858
12.60000000   1.31425858   2.47352143   0.01736869   0.42933604
12.70000000   1.31252052   2.47282538   0.01739513   0.42858036
